key,p_x,p_y
10SRB.X21,3.4,3.3
10SRB.X22,2.5,3.8
10SRB.X2,2.875,6
10SRB.X8,3.25,6
10SRB.X17,3.625,6
11GER.X1,,
11GER.X2,,
11GER.X5,,
11GER.X6,,
11GER.X7,,
11GER.X8,,
11GER.X9,,
11GER.X10,,
11GER.X13,,
11GER.X17,,
11GER.X18,,
11GER.X11,,
11GER.X20,,
11GER.X23,,
11MEX.X13,,
11MEX.X2,,
11MEX.X3,,
11MEX.X7,,
11MEX.X11,,
11MEX.X14,,
11MEX.X15,,
11MEX.X16,,
11MEX.X18,,
11MEX.X22,,
11MEX.X23,,
11MEX.X4,,
11MEX.X9,,
11MEX.X21,,
12SWE.X1,,
12SWE.X2,,
12SWE.X4,,
12SWE.X6,,
12SWE.X7,,
12SWE.X8,,
12SWE.X9,,
12SWE.X10,,
12SWE.X17,,
12SWE.X18,,
12SWE.X20,,
12SWE.X13,,
12SWE.X15,,
12SWE.X22,,
12KOR.X23,,
12KOR.X2,,
12KOR.X6,,
12KOR.X7,,
12KOR.X9,,
12KOR.X11,,
12KOR.X13,,
12KOR.X16,,
12KOR.X17,,
12KOR.X19,,
12KOR.X20,,
12KOR.X10,,
12KOR.X12,,
12KOR.X15,,
13BEL.X1,6,3
13BEL.X2,4,2.1
13BEL.X5,4,4
13BEL.X6,3.5,3.3
13BEL.X7,3.1,3
13BEL.X9,1.5,3
13BEL.X10,2,3.8
13BEL.X11,3.2,4.5
13BEL.X14,2,2.1
13BEL.X15,3.25,1.5
13BEL.X20,4.5,3
13BEL.X16,2.875,6
13BEL.X19,3.25,6
13BEL.X22,3.625,6
13PAN.X1,0.5,3
13PAN.X2,2.8,4.5
13PAN.X4,2.3,2.4
13PAN.X5,2.3,3.5
13PAN.X6,2.8,3
13PAN.X7,5,3
13PAN.X8,4.3,4.3
13PAN.X11,4,3.3
13PAN.X15,2.8,1.5
13PAN.X20,3.5,2.7
13PAN.X21,4,1.5
13PAN.X9,2.875,0
13PAN.X10,3.25,0
13PAN.X18,3.625,0
14TUN.X22,,
14TUN.X2,,
14TUN.X4,,
14TUN.X8,,
14TUN.X9,,
14TUN.X10,,
14TUN.X11,,
14TUN.X12,,
14TUN.X13,,
14TUN.X17,,
14TUN.X23,,
14TUN.X1,,
14TUN.X14,,
14TUN.X19,,
14ENG.X1,,
14ENG.X2,,
14ENG.X5,,
14ENG.X6,,
14ENG.X7,,
14ENG.X8,,
14ENG.X9,,
14ENG.X10,,
14ENG.X12,,
14ENG.X18,,
14ENG.X20,,
14ENG.X4,,
14ENG.X19,,
14ENG.X21,,
15POL.X1,,
15POL.X2,,
15POL.X4,,
15POL.X7,,
15POL.X9,,
15POL.X10,,
15POL.X11,,
15POL.X13,,
15POL.X16,,
15POL.X19,,
15POL.X20,,
15POL.X5,,
15POL.X18,,
15POL.X23,,
15SEN.X16,,
15SEN.X3,,
15SEN.X5,,
15SEN.X6,,
15SEN.X9,,
15SEN.X10,,
15SEN.X12,,
15SEN.X13,,
15SEN.X18,,
15SEN.X19,,
15SEN.X22,,
15SEN.X8,,
15SEN.X11,,
15SEN.X14,,
16COL.X1,,
16COL.X3,,
16COL.X4,,
16COL.X6,,
16COL.X9,,
16COL.X11,,
16COL.X16,,
16COL.X17,,
16COL.X20,,
16COL.X21,,
16COL.X23,,
16COL.X5,,
16COL.X7,,
16COL.X10,,
16JPN.X1,,
16JPN.X3,,
16JPN.X5,,
16JPN.X7,,
16JPN.X8,,
16JPN.X10,,
16JPN.X14,,
16JPN.X15,,
16JPN.X17,,
16JPN.X19,,
16JPN.X22,,
16JPN.X4,,
16JPN.X9,,
16JPN.X16,,
17RUS.X1,,
17RUS.X2,,
17RUS.X3,,
17RUS.X4,,
17RUS.X6,,
17RUS.X8,,
17RUS.X11,,
17RUS.X17,,
17RUS.X18,,
