MATCH,MATCH2,TEAM,PLAYER,NAME,NAME2,POS,PC ,PA ,PC/PA,PR,MIN,GS,S,SG,FC,FS,PLAYER2,NAME3,MIN2,DC,D_IN_POSS,D_NOT_IN_POSS,T_OPP_HALF,T_ATT_3RD,T_PEN_AREA,SPRINT,MAX_SPEED,A_Z1,A_Z2,A_Z3,A_Z4,A_Z5,Goals_scored,Attempts_on_off_target,Assists,Offsides,Saves,Yellow_cards,2Y_R,Red_card,Fouls_committed,Delivery_solo_runs_attacking3rd,Delivery_solo_runs_attacking3rd_a,Delivery_solo_runs_attacking3rd_b,Delivery_solo_runs_penalty_area,Delivery_solo_runs_penalty_area_a,Delivery_solo_runs_penalty_area_b,Tackles_gaining_the_ball,Tackles_not_gaining_the_ball,Tackles_suffered_losing_the_ball,Tackles_suffered_not_losing_the_ball,Clearances_Completed,Clearances_Attempted,Total_time_played_mins,Activity_time_spent_Z1,Activity_time_spent_Z2,Activity_time_spent_Z3,Activity_time_spent_Z4,Activity_time_spent_Z5,Distance_covered_m,ADC_m_Z1,ADC_m_Z2,ADC_m_Z3,ADC_m_Z4,ADC_m_Z5,Top_Speed,Sprints
53,53,BRA,15,PAULINHO,PAULINHO 15,MF,26,32,81,20,80,,1,1,,1,15,PAULINHO,"79'58""",8726,3357,3702,47,24,14,36,26.46,68,22,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,BRA,19,WILLIAN,WILLIAN 19,MF,35,46,76,45,89,,2,2,,4,19,WILLIAN,"90'45""",8668,3027,3485,55,26,2,37,29.92,73,20,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,BRA,22,FAGNER,FAGNER 22,DF,24,28,86,24,90,,,,2,1,22,FAGNER,"96'08""",8947,3101,3992,22,5,1,34,31.03,73,21,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,BRA,13,MARQUINHOS,MARQUINHOS 13,DF,3,3,100,2,1,,,,,,13,MARQUINHOS,"5'23""",620,187,297,17,,,1,33.3,60,32,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,BRA,17,FERNANDINHO,FERNANDINHO 17,MF,4,4,100,1,10,,,,,,17,FERNANDINHO,"16'10""",1717,419,920,18,5,2,6,27.9,64,27,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,BRA,20,ROBERTO FIRMINO,ROBERTO FIRMINO 20,FW,3,5,60,6,4,1,1,1,,,20,ROBERTO FIRMINO,"10'17""",1272,420,560,41,18,2,7,31.03,51,40,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,13,OCHOA,Guillermo OCHOA 13,GK,14,17,82,5,90,,,,,,13,OCHOA,"96'08""",3006,1125,1067,,,,,12.82,97,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,2,AYALA,Hugo AYALA 2,DF,44,46,96,34,90,,,,,,2,AYALA,"96'08""",8977,3456,3614,15,6,3,23,26.64,71,24,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,3,SALCEDO,Carlos SALCEDO 3,DF,59,63,94,56,90,,,,2,,3,SALCEDO,"96'08""",9426,3588,3848,18,6,3,31,29.48,69,25,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,4,MARQUEZ,Rafael MARQUEZ 4,DF,12,14,86,14,45,,,,1,,4,MARQUEZ,"45'00""",5008,2038,2042,39,12,4,14,25.02,65,26,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,11,VELA,Carlos VELA 11,FW,30,36,83,33,90,,2,1,,3,11,VELA,"96'08""",8616,3885,3037,63,33,4,32,27.22,74,20,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,14,HERNANDEZ,Javier HERNANDEZ 14,FW,8,10,80,6,60,,,,1,,14,HERNANDEZ,"59'39""",5751,2297,2032,73,41,12,22,29.92,76,18,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,16,HERRERA,Hector HERRERA 16,DF,30,36,83,30,90,,1,0,7,,16,HERRERA,"96'08""",10499,4310,4153,55,27,4,38,27.9,64,27,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,18,GUARDADO,Andres GUARDADO 18,MF,42,52,81,38,90,,2,0,,1,18,GUARDADO,"96'08""",10289,4090,3833,48,18,3,32,28.8,67,26,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,21,ALVAREZ,Edson ALVAREZ 21,DF,16,19,84,20,55,,,,2,,21,ALVAREZ,"54'50""",5760,2060,2459,24,9,4,19,29.02,66,26,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,22,LOZANO,Hirving LOZANO 22,FW,23,32,72,38,90,,5,0,1,2,22,LOZANO,"96'08""",7706,3099,2709,70,35,3,45,33.3,84,11,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,23,GALLARDO,Jesus GALLARDO 23,MF,41,44,93,39,90,,1,0,2,,23,GALLARDO,"96'08""",9592,3562,3865,27,7,,36,32.18,72,22,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,6,J. DOS SANTOS,Jonathan DOS SANTOS 6,MF,24,26,92,24,35,,,,,,6,J. DOS SANTOS,"41'18""",4231,1868,1517,63,25,3,25,26.46,68,22,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,7,LAYUN,Miguel LAYUN 7,MF,15,22,68,19,45,,1,0,1,,7,LAYUN,"51'08""",4803,1790,1981,31,14,1,21,28.8,72,22,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,MEX,9,JIMENEZ,Raul JIMENEZ 9,FW,4,7,57,6,30,,1,0,1,,9,JIMENEZ,"36'29""",3355,1517,1071,83,50,20,21,29.23,74,17,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,1,COURTOIS,Thibaut COURTOIS 1,GK,30,32,94,13,90,,,,,,1,COURTOIS,"96'18""",3816,1462,1322,,,,3,29.92,95,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,2,ALDERWEIRELD,Toby ALDERWEIRELD 2,DF,73,81,90,73,90,,,,,,2,ALDERWEIRELD,"96'18""",10030,4009,3795,26,9,5,23,27,68,27,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,4,KOMPANY,Vincent KOMPANY 4,DF,80,86,93,78,90,,2,0,4,1,4,KOMPANY,"96'18""",9599,3880,3613,21,8,4,14,28.12,69,26,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,5,VERTONGHEN,Jan VERTONGHEN 5,DF,66,80,82,63,90,1,2,2,,,5,VERTONGHEN,"96'18""",9465,3687,3604,33,15,5,21,28.37,74,20,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,6,WITSEL,Axel WITSEL 6,MF,59,61,97,54,90,,2,0,,,6,WITSEL,"96'18""",11015,4677,4309,43,20,2,17,22.86,60,32,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,7,DE BRUYNE,Kevin DE BRUYNE 7,MF,53,63,84,51,90,,2,0,2,1,7,DE BRUYNE,"96'18""",11742,5062,4278,48,19,1,38,31.97,63,28,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,9,R. LUKAKU,Romelu LUKAKU 9,FW,16,21,76,24,90,,6,1,2,,9,R. LUKAKU,"96'18""",8240,3733,2861,84,46,19,31,28.58,79,17,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,10,E. HAZARD,Eden HAZARD 10,FW,47,59,80,55,90,,3,1,,5,10,E. HAZARD,"96'18""",10471,4999,3418,70,37,7,39,29.48,69,24,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,11,CARRASCO,Yannick CARRASCO 11,MF,24,30,80,29,65,,1,0,2,,11,CARRASCO,"65'35""",7667,3172,2962,57,30,8,24,30.17,61,30,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,14,MERTENS,Dries MERTENS 14,FW,21,25,84,27,65,,1,1,,1,14,MERTENS,"65'24""",6947,2816,2859,71,40,7,28,28.58,68,23,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,15,MEUNIER,Thomas MEUNIER 15,DF,52,60,87,49,90,,2,0,2,,15,MEUNIER,"96'18""",11916,5029,4246,45,19,3,65,32.18,62,28,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,8,FELLAINI,Marouane FELLAINI 8,MF,10,12,83,13,25,1,1,1,,,8,FELLAINI,"30'54""",3612,1598,1114,57,35,19,18,27,64,25,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,BEL,22,CHADLI,Nacer CHADLI 22,MF,9,11,82,11,25,1,2,2,1,,22,CHADLI,"30'43""",3316,1404,1010,58,34,14,12,31.5,70,22,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,1,KAWASHIMA,Eiji KAWASHIMA 1,GK,18,32,56,12,90,,,,,,1,KAWASHIMA,"96'18""",3783,1181,1620,,,,1,21.78,95,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,3,SHOJI,Gen SHOJI 3,DF,33,39,85,31,90,,1,0,,1,3,SHOJI,"96'18""",8891,2829,4262,9,2,1,24,31.72,77,18,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,5,NAGATOMO,Yuto NAGATOMO 5,DF,37,45,82,42,90,,2,0,1,1,5,NAGATOMO,"96'18""",11504,3996,4921,27,8,1,56,28.8,60,30,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,7,SHIBASAKI,Gaku SHIBASAKI 7,MF,42,50,84,40,81,,,,2,,7,SHIBASAKI,"81'44""",9901,3389,4849,35,11,1,27,27.68,58,32,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,8,HARAGUCHI,Genki HARAGUCHI 8,MF,20,22,91,23,81,1,2,1,1,1,8,HARAGUCHI,"81'57""",9302,3238,4229,47,21,4,43,31.97,65,26,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,10,KAGAWA,Shinji KAGAWA 10,MF,52,59,88,48,90,,1,0,1,,10,KAGAWA,"96'18""",12047,4119,5518,57,25,4,28,27,56,34,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,14,INUI,Takashi INUI 14,MF,30,39,77,40,90,1,3,2,,1,14,INUI,"96'18""",10417,3434,4696,51,22,2,59,29.02,70,20,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,15,OSAKO,Yuya OSAKO 15,FW,16,20,80,21,90,,,,1,4,15,OSAKO,"96'18""",10197,3596,4218,69,33,8,31,28.58,66,28,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,17,HASEBE,Makoto HASEBE 17,MF,49,54,91,41,90,,,,2,1,17,HASEBE,"96'18""",10666,3354,5087,29,5,,28,28.12,67,26,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,19,H.SAKAI,Hiroki SAKAI 19,DF,27,36,75,32,90,,,,,2,19,H.SAKAI,"96'18""",10374,3340,4847,26,9,2,45,32.4,67,24,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,22,YOSHIDA,Maya YOSHIDA 22,DF,42,47,89,33,90,,,,1,1,22,YOSHIDA,"96'18""",8765,2767,4158,10,4,2,24,29.48,76,19,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,4,HONDA,Keisuke HONDA 4,MF,3,5,60,5,9,,2,1,,,4,HONDA,"14'21""",1580,489,644,59,29,5,7,24.3,63,27,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,JPN,16,YAMAGUCHI,Hotaru YAMAGUCHI 16,MF,5,5,100,6,9,,,,,,16,YAMAGUCHI,"14'34""",1462,397,693,42,5,,7,27.68,70,22,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,1,OLSEN,Robin OLSEN 1,GK,18,24,75,10,90,,,,,,1,OLSEN,"97'31""",4846,1240,1862,,,,1,18.76,94,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,2,LUSTIG,Mikael LUSTIG 2,DF,13,24,54,20,82,,1,0,1,,2,LUSTIG,"82'54""",8460,2249,4099,27,12,2,27,28.58,69,24,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
