1,2,4,5,7,9,10,14,16,17,22,6,18,23
,6,1,,1,,,6,1,6,,,,
1,,,10,3,,,14,17,18,3,1,2,3
1,2,,5,17,2,5,4,1,15,8,,,
,5,17,,15,2,13,9,3,3,3,,1,
,1,4,7,,1,12,6,7,2,1,1,2,1
,,2,1,5,,4,,1,,1,,1,
,1,1,9,12,2,,3,3,,5,1,4,
,9,6,18,9,5,9,,12,14,1,1,1,1
,13,,4,12,5,4,10,,,8,,2,
5,13,11,10,3,3,,15,2,,3,4,,
,1,2,6,,1,2,4,5,,,,,
,1,2,,4,,1,1,,1,,,1,1
,,,1,,1,2,,,,,1,,1
,4,,,1,1,,2,,,,1,1,
