1,2,3,4,6,8,9,10,14,19,21,11,18
,2,,9,,,,1,,,3,1,
2,,,4,,16,3,1,,8,1,4,
,2,,2,3,2,,3,9,,2,1,
2,2,1,,6,1,2,1,2,6,5,,
1,,5,5,,3,,2,6,11,4,,1
,9,,2,2,,10,9,1,16,1,,
,,,,,7,,2,1,1,,,
,,3,,1,3,1,,5,3,,2,
,,4,,2,6,,7,,1,3,5,
1,9,2,2,5,13,,2,6,,2,4,1
3,1,3,2,5,2,2,1,3,2,,2,
,2,,,1,1,,3,3,3,,,
,,,,,,,1,,1,,,
