key,p_x,p_y
10HON.X2,2.875,6
10HON.X14,3.25,6
10HON.X20,3.625,6
11ARG.X1,6,3
11ARG.X2,4,3.83
11ARG.X3,4,2.1
11ARG.X4,3.25,1.5
11ARG.X7,2.8,4.1
11ARG.X10,2.8,2.16
11ARG.X11,3,3.5
11ARG.X14,3.35,3
11ARG.X16,3,4.5
11ARG.X17,4.7,3
11ARG.X20,1.5,3
11ARG.X5,2.875,6
11ARG.X6,3.25,6
11ARG.X9,3.625,6
11BIH.X1,0.5,3
11BIH.X3,2,3.83
11BIH.X4,2,2.7
11BIH.X5,2.5,2
11BIH.X7,2.875,2.8
11BIH.X8,3.5,3.7
11BIH.X10,4,3
11BIH.X11,5,3
11BIH.X13,2.5,4.5
11BIH.X16,3.6,1.5
11BIH.X20,3.5,4.5
11BIH.X9,2.875,0
11BIH.X18,3.25,0
11BIH.X19,3.625,0
12IRN.X12,,
12IRN.X2,,
12IRN.X3,,
12IRN.X4,,
12IRN.X5,,
12IRN.X6,,
12IRN.X14,,
12IRN.X15,,
12IRN.X16,,
12IRN.X21,,
12IRN.X23,,
12IRN.X7,,
12IRN.X9,,
12NGA.X1,,
12NGA.X5,,
12NGA.X7,,
12NGA.X9,,
12NGA.X10,,
12NGA.X11,,
12NGA.X13,,
12NGA.X14,,
12NGA.X15,,
12NGA.X17,,
12NGA.X22,,
12NGA.X2,,
12NGA.X8,,
12NGA.X23,,
13GER.X1,0.5,3
13GER.X4,2.8,1.5
13GER.X5,2,2.16
13GER.X6,3.5,3.83
13GER.X8,4,4.5
13GER.X13,5,3.2
13GER.X16,3,3
13GER.X17,2,3.83
13GER.X18,3.5,2.16
13GER.X19,4.2,1.83
13GER.X20,2.5,4.5
13GER.X9,2.875,0
13GER.X10,3.25,0
13GER.X21,3.625,0
13POR.X12,6,3
13POR.X2,4.5,3.83
13POR.X3,4.5,2.16
13POR.X4,3.5,3
13POR.X5,3.5,4.5
13POR.X7,1.5,3.83
13POR.X8,2.7,2.6
13POR.X9,1.5,3
13POR.X16,3,4
13POR.X17,3,2.16
13POR.X21,3.5,1.5
13POR.X11,2.875,6
13POR.X13,3.25,6
13POR.X19,3.625,6
14GHA.X12,,
14GHA.X3,,
14GHA.X4,,
14GHA.X7,,
14GHA.X10,,
14GHA.X11,,
14GHA.X13,,
14GHA.X17,,
14GHA.X19,,
14GHA.X20,,
14GHA.X21,,
14GHA.X5,,
14GHA.X9,,
14GHA.X14,,
14USA.X1,,
14USA.X4,,
14USA.X5,,
14USA.X7,,
14USA.X8,,
14USA.X11,,
14USA.X13,,
14USA.X15,,
14USA.X17,,
14USA.X20,,
14USA.X23,,
14USA.X6,,
14USA.X9,,
14USA.X19,,
15BEL.X1,,
15BEL.X2,,
15BEL.X4,,
15BEL.X5,,
